value
57
57
56
56
57
57
57
57
56
61
61
57
56
56
56
63
63
60
77
87
65
63
56
61
65
65
61
62
66
64
98
88
57
53
52
53
52
55
57
50
52
53
51
53
50
53
54
51
55
52
53
50
49
49
51
50
48
53
52
59
51
51
52
51
52
51
61
54
50
52
52
51
51
50
50
52
49
51
50
53
52
50
50
49
46
57
49
49
61
58
55
53
53
52
52
51
52
52
53
52
52
55
71
67
69
69
71
52
58
60
53
53
54
53
53
53
53
55
54
54
53
52
54
53
60
59
55
54
54
55
55
55
55
55
55
64
55
53
53
54
54
58
53
56
54
52
54
54
54
54
62
56
54
54
54
54
54
55
55
67
61
54
53
54
55
55
65
57
55
54
55
59
57
55
54
54
55
55
57
56
54
53
57
54
55
53
52
55
56
59
54
57
57
56
58
54
59
65
92
82
60
62
60
67
57
57
56
58
60
70
61
68
61
71
58
61
60
60
65
65
71
68
78
79
76
79
79
74
74
77
70
64
66
65
60
64
60
61
57
60
59
59
64
61
61
67
64
68
68
63
55
59
60
63
58
61
60
61
61
58
59
61
61
62
60
55
54
55
55
53
56
57
56
57
54
56
55
56
58
59
57
58
57
59
59
63
61
63
60
61
56
55
60
61
59
64
70
67
59
58
61
58
60
59
59
60
61
61
59
69
57
57
54
59
58
60
64
71
73
68
66
64
66
70
71
69
70
75
60
69
63
69
64
58
59
59
55
57
57
59
57
58
57
55
55
56
59
60
61
63
57
55
59
57
58
59
55
67
56
59
59
59
58
59
60
59
58
63
62
65
62
63
66
64
63
59
62
65
69
69
63
75
75
74
73
74
73
76
79
82
81
81
83
80
80
82
82
83
80
79
79
74
71
69
68
72
74
72
73
76
80
84
84
81
80
90
95
90
82
81
79
74
73
72
71
76
77
78
76
70
71
72
74
79
83
83
83
80
81
82
85
82
82
82
82
80
70
59
69
73
76
77
79
71
63
65
68
67
66
76
75
65
59
57
60
59
57
57
55
49
54
56
57
59
60
59
61
61
63
60
59
60
58
57
56
59
57
60
59
59
59
56
56
56
58
56
55
55
56
54
53
53
53
53
53
53
59
61
60
58
58
58
58
56
57
57
60
62
58
58
74
92
92
93
93
93
97
97
92
72
60
62
63
61
67
69
66
61
60
61
59
58
58
59
61
69
60
61
57
59
60
60
61
63
68
62
63
62
63
63
67
72
70
66
62
62
62
62
60
62
63
60
59
59
58
59
59
64
65
66
65
62
62
60
55
56
56
57
57
59
57
58
65
66
60
60
62
57
55
56
59
57
54
55
58
59
59
57
59
58
58
59
59
61
63
63
64
61
62
59
57
56
56
56
56
56
56
58
57
58
58
58
57
58
57
57
57
56
58
59
59
59
57
56
57
