Date,Weight,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Mood,Pain,Tired
2020-03-20,163,2878,8596,4.05,4,776,257,26,21,1417,7,1,1
2020-03-21,,2443,5287,2.49,3,812,180,15,7,844,7,2,1
2020-03-22,162.4,2177,1961,0.88,1,511,62,20,12,477,,,
2020-03-23,160.8,3057,8780,4.13,4,694,315,13,20,1607,8,1,0
2020-03-24,,2652,7429,3.49,4,739,231,15,20,1160,8,0,0
2020-03-25,162.6,2240,3817,1.8,1,887,135,3,9,608,7,0,0
2020-03-26,161.2,2541,3701,1.74,2,448,133,27,15,865,7,1,0
2020-03-27,161.2,2668,6278,2.95,3,707,206,26,17,1135,7,1,0
2020-03-28,159.6,2653,7631,3.62,4,732,237,9,22,1163,7,1,0
2020-03-29,159.2,2730,7989,3.76,3,711,250,18,18,1266,7,0,1
2020-03-30,,2694,7376,3.46,3,732,228,18,17,1159,7,1,1
2020-03-31,,2296,3776,1.78,3,806,141,2,17,662,7,1,1
2020-04-01,159.4,2150,940,0.44,0,719,90,0,0,332,6,2,0
2020-04-02,159.4,2225,1835,0.78,0,839,111,0,0,440,6,1,1
2020-04-03,,2420,4550,2.12,2,934,156,16,9,809,7,0,0
2020-04-04,161,2298,4328,2.04,2,1263,164,4,9,712,7,0,0
2020-04-05,161.4,2213,2492,1.17,1,251,99,4,9,450,7,0,1
2020-04-06,161.2,3572,11851,5.58,26,941,193,81,92,2107,7,0,1
2020-04-07,159.6,2236,3279,1.54,1,487,125,3,9,590,7,1,1
2020-04-08,,2553,7466,3.51,7,735,182,11,31,998,7,0,1
2020-04-09,160.2,2319,4394,2.07,3,1023,149,5,8,679,7,0,1
2020-04-10,160.8,2332,2998,1.41,1,962,95,26,13,673,7,1,0
2020-04-11,161.6,2458,5986,2.82,4,277,129,21,25,836,7,1,0
2020-04-12,,2641,8119,3.8,4,937,227,18,16,1129,7,0,1
2020-04-13,159.6,2107,3052,1.44,3,517,99,7,8,457,7,0,0
2020-04-14,160,2642,3120,1.47,0,1119,140,15,41,975,8,0,0
2020-04-15,161.2,2054,2009,0.95,2,347,74,3,7,357,7,0,0
2020-04-16,,2855,8647,4.07,8,937,273,11,17,1332,7,1,2
2020-04-17,159.8,2430,5360,2.52,2,931,187,4,8,832,7,1,1
2020-04-18,159.2,1903,516,0.24,0,904,47,0,0,153,7,0,1
2020-04-19,159.8,3183,9828,4.63,12,586,163,32,94,1647,8,1,1
2020-04-20,159.8,2723,4558,2.15,1,521,205,45,10,1178,7,1,1
2020-04-21,161,2685,7137,3.32,3,690,231,25,17,1194,7,1,0
2020-04-22,,2273,3628,1.71,2,963,139,8,7,607,7,0,0
2020-04-23,162,1994,616,0.29,0,597,51,0,0,181,7,0,0
2020-04-24,160.2,2579,4516,2.1,1,848,148,36,10,961,8,0,0
2020-04-25,,2671,7725,3.61,6,729,191,24,24,1128,7,1,0
2020-04-26,161,2854,9526,4.48,5,670,231,37,35,1389,8,0,0
2020-04-27,159.8,2797,8125,3.82,3,762,249,33,21,1352,8,1,0
2020-04-28,160.2,2807,8703,3.97,5,677,229,32,22,1349,8,1,0
2020-04-29,,3187,13625,6.42,10,740,240,30,78,1773,6,1,0
2020-04-30,161.2,1956,761,0.36,0,575,78,0,0,246,6,1,0
2020-05-01,,2146,2080,0.98,1,771,86,6,8,416,6,3,1
2020-05-02,,2418,4512,2.13,2,792,181,3,11,796,7,1,1
2020-05-03,160.2,2130,544,0.26,0,1360,71,5,4,349,6,1,0
2020-05-04,160,2099,766,0.36,0,566,94,0,0,349,7,1,0
2020-05-05,161.4,2477,5020,2.36,6,465,155,38,8,924,7,1,1
2020-05-06,,2900,10181,4.78,3,683,304,7,16,1459,6,1,1
2020-05-07,163,2316,4285,2,2,1251,176,4,9,730,5,1,2
2020-05-08,160.8,2434,4351,2.05,6,437,210,0,0,812,7,0,0
2020-05-09,161.4,2503,5463,2.57,1,626,209,3,7,966,6,1,1
2020-05-10,,2671,7244,3.41,5,728,229,16,15,1166,5,1,1
2020-05-11,163,2206,3585,1.69,3,1312,116,1,11,546,5,1,2
2020-05-12,,2285,3250,1.53,1,0,116,2,9,557,6,1,0
2020-05-13,162,2220,3717,1.75,2,776,131,4,8,581,7,1,0
2020-05-14,163.4,2317,3241,1.53,3,699,115,13,14,664,6,1,1
2020-05-15,,2685,6261,2.95,3,1020,208,13,19,1066,7,1,1
2020-05-16,162.4,2204,3595,1.69,1,1299,130,3,8,567,7,1,1
2020-05-17,,2894,4167,1.96,2,299,256,43,1,1328,7,0,0
2020-05-18,162.2,2007,905,0.42,0,992,69,0,0,247,7,0,1
2020-05-19,163.8,2345,1744,0.81,0,535,124,0,0,540,7,1,0
2020-05-20,163.4,2497,4677,2.18,1,503,115,46,16,866,7,1,0
2020-05-21,163.2,2858,9773,4.6,3,718,255,32,21,1413,7,0,0
2020-05-22,161.2,2817,9588,4.84,5,890,247,9,30,1323,7,0,0
2020-05-23,162.2,2925,3675,1.69,6,631,218,35,16,1322,7,0,0
2020-05-24,,2348,4198,1.98,1,616,106,13,9,623,7,1,0
2020-05-25,164.4,2262,4031,1.9,2,862,161,6,4,640,7,1,1
2020-05-26,161.2,1962,730,0.34,0,832,57,0,0,197,6,0,0
2020-05-27,163,3013,7096,3.32,2,276,234,56,21,1558,,,
2020-05-28,162.2,2872,9273,4.36,4,776,280,18,18,1389,,,
2020-05-29,163,2893,8732,4.09,3,726,274,25,23,1455,8,1,0
2020-05-30,161,2511,6140,2.89,3,846,190,7,16,909,8,1,0
2020-05-31,161.8,2580,6043,2.84,7,820,241,7,7,1024,8,0,0
2020-06-01,,2056,1515,0.71,2,708,83,0,0,311,8,0,0
2020-06-02,162.6,3186,4016,1.89,1,717,344,3,8,1690,8,1,1
2020-06-03,163.4,2640,6848,3.25,3,732,220,10,18,1098,7,1,1
2020-06-04,163.2,2346,4523,2.15,2,1265,163,6,6,739,7,0,1
2020-06-05,163,2360,4497,2.12,1,114,125,11,8,659,7,1,1
2020-06-06,161.4,2894,9204,4.29,3,681,223,61,23,1456,7,1,1
2020-06-07,161.2,2657,8091,3.79,4,696,243,8,16,1140,7,1,0
2020-06-08,162.4,2606,6472,3.03,4,699,181,16,20,1019,7,0,1
2020-06-09,163,3038,8815,4.13,5,733,230,40,32,1541,7,1,1
2020-06-10,,2489,6218,2.93,3,612,168,18,15,903,7,1,1
2020-06-11,,2677,6787,3.22,3,1192,235,5,8,1079,7,1,2
2020-06-12,166.8,2473,1946,0.91,1,465,146,23,7,793,7,2,1
2020-06-13,164.2,2533,3712,1.75,8,662,199,0,0,877,,,
2020-06-14,,2478,3742,1.76,0,827,165,46,1,916,7,0,0
2020-06-15,164.2,2059,2114,1.02,2,871,90,0,0,370,,,
2020-06-16,,2610,5301,2.51,1,210,200,4,8,958,7,1,0
2020-06-17,164.6,2737,7836,3.69,3,698,238,14,18,1240,7,1,0
2020-06-18,165,2314,4133,1.96,2,764,156,5,7,681,7,0,1
2020-06-19,164.4,2956,3325,1.59,2,901,106,66,47,1322,7,0,0
2020-06-20,,2273,3521,1.66,1,603,119,4,7,582,7,2,1
2020-06-21,163.4,3018,10107,4.75,5,788,350,9,18,1626,7,1,1
2020-06-22,163.4,3088,12009,5.66,3,683,315,45,15,1721,7,1,1
2020-06-23,,3058,9873,4.67,2,640,265,58,23,1656,7,1,0
2020-06-24,164.6,2049,1336,0.63,0,559,89,0,0,329,7,1,1
2020-06-25,,2552,5051,2.38,1,547,92,56,25,934,7,1,1
2020-06-26,163.4,2451,5425,2.55,2,811,190,7,7,860,7,0,0
2020-06-27,163.4,1984,556,0.26,0,874,54,0,0,179,7,1,0
2020-06-28,,2336,4268,1.98,3,678,129,0,19,660,7,0,0
2020-06-29,163.8,2043,668,0.31,0,911,73,0,0,245,7,2,0
2020-06-30,163.4,2261,1996,0.94,1,791,92,4,8,522,7,0,0
2020-07-01,162.4,2983,9277,4.37,6,703,229,47,26,1482,7,1,1
2020-07-02,162.4,2257,4326,2.04,2,764,144,5,7,643,7,1,1
2020-07-03,,2418,4465,2.1,1,737,126,34,9,797,7,0,0
2020-07-04,164.4,2747,7863,3.7,4,762,218,22,18,1211,7,0,1
2020-07-05,163.4,2752,7347,3.51,3,653,167,50,32,1233,7,1,1
2020-07-06,,3057,9805,4.61,3,636,298,38,26,1672,7,0,1
2020-07-07,162.4,2427,4833,2.27,2,569,175,2,12,818,7,0,0
2020-07-08,163.4,2402,4687,2.21,1,863,175,3,9,797,7,0,1
2020-07-09,162.2,2630,8188,3.85,3,745,212,11,18,1098,7,0,0
2020-07-10,163.4,2401,4561,2.15,2,567,157,5,9,763,7,0,0
2020-07-11,,2648,7091,3.7,4,973,184,0,29,1015,7,0,0
2020-07-12,163,2538,4286,2.12,0,829,162,34,7,969,7,0,0
2020-07-13,164,2359,4188,1.98,2,394,105,25,11,664,7,1,0
2020-07-14,163,2399,5407,2.54,3,667,152,10,18,811,7,0,0
2020-07-15,165.4,2704,6013,2.83,2,1197,200,24,19,1107,7,0,1
2020-07-16,164,2096,1296,0.61,0,877,103,0,0,383,7,1,1
2020-07-17,162.6,2022,922,0.43,0,381,75,0,0,261,7,1,1
2020-07-18,162.4,2389,4044,1.9,1,734,145,4,9,707,7,1,1
2020-07-19,163.8,2665,7100,3.34,6,1163,265,4,8,1130,7,0,1
2020-07-20,,2274,1648,0.77,0,577,131,0,0,544,7,0,0
2020-07-21,162.2,2080,1366,0.64,0,916,88,0,0,317,7,0,0
2020-07-22,,2323,3820,1.8,1,485,136,2,8,653,7,1,0
2020-07-23,162.4,2727,8643,4.09,3,771,255,9,17,1234,7,0,1
2020-07-24,162.4,2175,3536,1.66,2,1309,118,7,6,518,7,0,1
2020-07-25,162.2,2633,5183,2.79,7,220,177,2,18,903,7,1,0
2020-07-26,,2107,951,0.45,0,878,98,0,0,351,7,0,0
2020-07-27,161.6,2272,2891,1.36,1,720,103,18,8,577,7,0,0
2020-07-28,161.6,2574,6321,3,2,814,180,22,17,1019,7,0,0
2020-07-29,160,2413,5250,2.47,2,881,155,9,14,772,7,1,0
2020-07-30,160.2,2207,3359,1.58,2,866,146,0,0,561,7,1,0
2020-07-31,159.2,2384,3975,1.87,1,777,141,14,9,764,7,1,0
2020-08-01,161.4,2643,7558,3.53,3,772,239,8,17,1121,7,1,0
2020-08-02,,2709,7125,3.34,3,756,203,30,23,1191,7,1,0
2020-08-03,,2604,5549,2.61,3,827,286,6,6,1114,7,0,0
2020-08-04,161.2,2020,862,0.4,0,768,78,0,0,264,7,1,0
2020-08-05,161.6,2618,4199,1.97,4,841,193,25,7,1000,7,0,0
2020-08-06,,2023,647,0.31,0,603,66,0,0,232,7,1,0
2020-08-07,160.4,1992,606,0.28,0,928,70,0,0,232,7,1,1
2020-08-08,160.2,2688,4764,2.25,2,726,172,36,13,1041,7,0,1
2020-08-09,161.2,2698,6120,2.88,3,736,168,32,27,1141,7,0,0
2020-08-10,,2397,4642,2.18,2,582,155,10,12,773,7,0,1
2020-08-11,164,2859,6571,3.09,1,769,267,16,9,1316,7,0,0
2020-08-12,,2820,7982,3.73,4,715,215,55,19,1334,7,0,1
2020-08-13,160.8,2567,6853,3.23,2,688,207,15,11,1025,7,1,0
2020-08-14,162,2370,5369,2.53,2,639,161,16,8,781,7,0,1
2020-08-15,,2335,4070,2.14,3,1043,143,7,12,680,7,0,0
2020-08-16,160.4,1848,408,0.19,0,1125,37,0,0,114,7,0,0
