Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13928,"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,"Marillier, Juliet",,"=""""","=""""",0,4.23,Tom Doherty Associates,Mass Market Paperback,554,2002,1999,,2016/12/02,to-read,to-read (#274),to-read,,,,0,,,0,,,,,
22544764,Uprooted,Naomi Novik,"Novik, Naomi",,"=""0804179034""","=""9780804179034""",0,4.06,Del Rey,Hardcover,435,2015,2015,,2016/12/02,to-read,to-read (#273),to-read,,,,0,,,0,,,,,
23444482,"The Traitor Baru Cormorant (The Masquerade, #1)",Seth Dickinson,"Dickinson, Seth",,"=""0765380722""","=""9780765380722""",0,4.06,Tor Books / Tom Doherty Associates ,Hardcover,399,2015,2015,,2016/12/02,to-read,to-read (#272),to-read,,,,0,,,0,,,,,
479309,Naked in Death (In Death #1),J.D. Robb,"Robb, J.D.",,"=""""","=""""",0,4.12,Berkley Publishing Group,Mass Market Paperback,306,1995,1995,,2016/12/02,to-read,to-read (#271),to-read,,,,0,,,0,,,,,
6437061,"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""0316043915""","=""9780316043915""",0,3.85,Hachette Book Group Orbit,Paperback,427,2010,2010,,2016/12/01,to-read,to-read (#270),to-read,,,,0,,,0,,,,,
14817,A Scanner Darkly,Philip K. Dick,"Dick, Philip K.",,"=""057507681X""","=""9780575076815""",0,4.01,Gollancz,Paperback,219,2006,1977,,2014/07/02,abandoned,abandoned (#4),abandoned,,,,0,,,1,,,unspecified,,
400924,"Chronicles of the Black Company (The Chronicles of the Black Company, #1-3)",Glen Cook,"Cook, Glen",,"=""0765319233""","=""9780765319234""",0,4.22,Tor Books,Paperback,704,2007,1986,,2016/11/30,to-read,to-read (#269),to-read,,,,0,,,0,,,,,
301538,"The Darkness That Comes Before (The Prince of Nothing, #1)",R. Scott Bakker,"Bakker, R. Scott",,"=""1585676772""","=""9781585676774""",0,3.79,Harry N. Abrams,Paperback,608,2005,2003,,2016/11/30,to-read,to-read (#268),to-read,,,,0,,,0,,,,,
132694,When Gravity Fails,George Alec Effinger,"Effinger, George Alec",,"=""0765313588""","=""9780765313584""",0,3.91,St. Martins Press-3PL,Paperback,284,2005,1986,,2016/11/29,to-read,to-read (#267),to-read,,,,0,,,0,,,,,
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,"=""0571224385""","=""9780571224388""",0,4.10,Harper Perennial,Paperback,320,2009,1984,,2016/11/29,to-read,to-read (#265),to-read,,,,0,,,0,,,,,
23019294,A Head Full of Ghosts,Paul Tremblay,"Tremblay, Paul",,"=""0062363239""","=""9780062363237""",0,3.81,William Morrow,Hardcover,286,2015,2015,,2016/11/28,to-read,to-read (#264),to-read,,,,0,,,0,,,,,
