,Date,Weight
252,2020-09-03,161.2
253,2020-09-04,160.4
254,2020-09-05,161.8
255,2020-09-06,160.0
256,2020-09-07,160.0
257,2020-09-08,159.6
258,2020-09-09,160.0
259,2020-09-10,159.8
260,2020-09-11,159.8
261,2020-09-12,159.4
262,2020-09-13,159.6
263,2020-09-14,159.6
264,2020-09-15,159.6
265,2020-09-16,159.0
266,2020-09-17,160.0
267,2020-09-18,158.8
268,2020-09-19,159.0
269,2020-09-20,157.6
270,2020-09-21,159.6
271,2020-09-22,159.6
272,2020-09-23,159.6
273,2020-09-24,160.0
274,2020-09-25,159.8
275,2020-09-26,159.2
276,2020-09-27,159.2
277,2020-09-28,159.2
278,2020-09-29,160.4
279,2020-09-30,160.8
280,2020-10-01,159.8
281,2020-10-02,161.2
282,2020-10-03,158.8
283,2020-10-04,159.2
284,2020-10-05,160.4
285,2020-10-06,158.8
286,2020-10-07,158.8
287,2020-10-08,158.8
288,2020-10-09,158.6
289,2020-10-10,157.2
290,2020-10-11,157.2
291,2020-10-12,157.8
292,2020-10-13,157.8
293,2020-10-14,155.8
294,2020-10-15,155.8
295,2020-10-16,156.6
296,2020-10-17,157.8
297,2020-10-18,157.8
298,2020-10-19,159.0
299,2020-10-20,158.2
300,2020-10-21,156.8
301,2020-10-22,159.2
302,2020-10-23,159.0
303,2020-10-24,159.0
304,2020-10-25,159.2
305,2020-10-26,159.8
306,2020-10-27,158.0
307,2020-10-28,159.2
308,2020-10-29,159.2
309,2020-10-30,161.6
310,2020-10-31,161.8
311,2020-11-01,160.8
312,2020-11-02,160.4
313,2020-11-03,160.4
314,2020-11-04,160.4
315,2020-11-05,160.0
316,2020-11-06,160.0
317,2020-11-07,159.4
318,2020-11-08,160.8
319,2020-11-09,160.2
320,2020-11-10,162.2
321,2020-11-11,161.4
322,2020-11-12,161.8
323,2020-11-13,162.6
324,2020-11-14,162.6
325,2020-11-15,162.2
326,2020-11-16,163.2
327,2020-11-17,161.0
328,2020-11-18,159.6
329,2020-11-19,159.6
330,2020-11-20,159.4
331,2020-11-21,161.6
332,2020-11-22,161.6
333,2020-11-23,161.8
334,2020-11-24,161.8
335,2020-11-25,161.6
336,2020-11-26,161.6
337,2020-11-27,163.4
338,2020-11-28,163.0
339,2020-11-29,163.8
340,2020-11-30,163.8
341,2020-12-01,161.8
342,2020-12-02,162.2
343,2020-12-03,161.8
344,2020-12-04,163.2
345,2020-12-05,165.2
346,2020-12-06,164.6
347,2020-12-07,164.4
348,2020-12-08,164.4
349,2020-12-09,162.4
350,2020-12-10,162.2
351,2020-12-11,162.2
352,2020-12-12,163.8
353,2020-12-13,164.6
354,2020-12-14,164.2
355,2020-12-15,161.8
356,2020-12-16,162.6
357,2020-12-17,163.0
358,2020-12-18,163.6
359,2020-12-19,163.6
360,2020-12-20,161.8
361,2020-12-21,162.2
362,2020-12-22,162.2
363,2020-12-23,162.2
364,2020-12-24,161.4
365,2020-12-25,162.4
366,2020-12-26,163.6
367,2020-12-27,162.4
368,2020-12-28,162.2
369,2020-12-29,162.2
370,2020-12-30,165.2
371,2020-12-31,165.2
